Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.105121	DL	10	5	1	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.105179	DL	10	5	2	1	11	4	0	2	35	0	1	0	-9.44036	0	1	0.999993
0.105183	DL	10	5	2	1	12	1	0	2	1454	28	1	0	23.2447	15	0	0
0.105183	DL	10	5	2	1	12	7	0	1	229	8	1	0	3.80153	5	0	0
0.105232	DL	10	5	0	1	12	1	1	1	1605	12	1	0	5.1093	7	0	3.93336e-07
0.105232	DL	10	5	0	1	12	4	1	1	5990	28	1	0	46.7866	15	0	0
0.105246	DL	10	5	3	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.105246	DL	10	5	3	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.105246	DL	10	5	3	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.105308	DL	10	5	4	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.105308	DL	10	5	4	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.105308	DL	10	5	4	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.105366	DL	10	5	5	1	11	7	0	1	209	8	1	0	3.66677	5	0	0
0.105371	DL	10	5	5	1	12	1	0	2	1454	28	1	0	23.5934	15	0	0
0.105371	DL	10	5	5	1	12	4	0	2	39	0	1	1	-9.44001	0	0	0.0968173
0.105433	DL	10	5	6	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.105433	DL	10	5	6	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.105433	DL	10	5	6	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.105464	DL	10	5	1	1	11	4	1	1	5489	28	1	0	46.7866	15	0	0
0.105482	DL	10	5	1	1	12	1	1	1	1605	12	1	0	44.4775	15	0	0
0.105496	DL	10	5	7	1	12	1	0	2	1454	28	1	0	23.2566	15	0	0
