Time	CellId	RNTI	BWPId	SINR(dB)
0.0279509	4	2	0	30.1837
0.0279821	1	1	1	65.8156
0.0279955	7	1	0	38.2433
0.0280357	4	1	1	31.0066
0.028058	7	1	0	39.0347
0.0280714	1	2	0	61.0085
0.0281205	4	2	0	10.9276
0.0281205	7	1	0	-2.14227
0.0281339	4	2	0	21.5261
0.028183	7	1	0	38.8028
0.0281964	1	1	1	66.0634
0.0281964	1	2	0	36.4221
0.0281964	4	2	0	-19.4362
0.0282455	7	1	0	38.6569
0.0282589	1	2	0	34.9258
0.0282857	1	1	1	5.96355
0.0282857	4	1	1	31.0066
0.028308	4	2	0	19.6732
0.028308	7	1	0	37.9353
0.0283214	4	2	0	21.5261
0.0283259	7	1	0	36.1758
0.0283839	1	2	0	36.4221
0.0283839	4	2	0	-19.4362
0.028433	7	1	0	38.6569
0.0284464	1	2	0	33.1112
0.0284464	4	2	0	-19.4363
0.0284598	7	1	0	37.9312
0.0285357	1	1	1	5.96355
0.0285357	4	1	1	31.0066
0.0285714	1	2	0	35.102
0.0285714	7	1	0	-5.11815
0.0286205	4	2	0	32.4478
0.0286339	4	2	0	33.6621
0.0286964	1	2	0	35.102
0.0286964	7	1	0	-5.11815
0.0287455	4	2	0	32.4478
0.0287589	1	2	0	35.102
0.0287589	7	1	0	-5.11815
0.0287857	1	1	1	5.96355
0.0287857	4	1	1	31.0066
0.028808	4	2	0	32.4478
0.0288705	4	2	0	33.6621
0.0288839	1	2	0	36.4221
0.028933	4	2	0	32.8153
0.028933	7	1	0	6.78146
0.0289464	1	2	0	33.1112
0.0289509	4	2	0	18.5171
0.0289955	7	1	0	38.3889
0.0290357	1	1	1	5.96355
0.0290357	4	1	1	31.0066
0.029058	7	1	0	39.0347
0.0290714	1	2	0	61.0085
0.0291205	4	2	0	10.9276
0.0291205	7	1	0	-2.14227
0.0291339	4	2	0	21.5261
0.029183	7	1	0	38.8028
0.0291964	1	2	0	36.4221
0.0291964	4	2	0	-19.4362
0.0292455	7	1	0	38.6569
0.0292589	1	2	0	34.9258
0.0292679	7	1	0	36.5528
0.0292857	1	1	1	5.96355
0.0292857	4	1	1	31.0066
0.029308	4	2	0	31.548
0.0293214	4	2	0	33.6621
0.0293839	1	2	0	36.4221
0.0293839	4	2	0	-19.4362
0.029433	7	1	0	38.6569
0.0294464	1	2	0	33.1112
0.0294464	4	2	0	-19.4363
0.0294598	7	1	0	37.9312
0.0295357	4	1	1	62.6319
0.029558	4	2	0	32.8255
0.0295714	1	2	0	33.1112
0.0295714	7	1	0	-5.10577
0.0296205	4	2	0	33.2843
0.0296339	4	2	0	33.6621
0.0296964	1	2	0	35.102
0.0296964	7	1	0	-5.11815
0.0297321	1	1	1	65.8156
0.0297455	4	2	0	32.4478
0.0297589	1	2	0	35.102
0.0297589	7	1	0	-5.11815
0.0297857	4	1	1	62.6319
0.029808	4	2	0	32.4478
0.0298705	4	2	0	32.8255
0.0298839	1	2	0	36.4221
0.0298884	4	2	0	30.1837
0.029933	7	1	0	38.2433
0.0299464	1	2	0	33.1112
0.0299464	4	2	0	-19.4363
0.0299821	1	1	1	65.8156
0.0299955	7	1	0	38.8024
0.0300357	4	1	1	62.6319
0.030058	7	1	0	39.0347
0.0300714	1	2	0	61.0085
0.0301205	4	2	0	10.9276
0.0301205	7	1	0	-2.14227
0.0301339	4	2	0	21.5261
0.030183	7	1	0	38.796
0.0301964	1	2	0	34.9258
0.0302321	1	1	1	65.8156
0.0302455	4	2	0	19.6732
0.0302455	7	1	0	37.9353
0.0302589	1	2	0	35.102
0.0302634	7	1	0	35.6114
0.0302857	4	1	1	62.6319
0.030308	4	2	0	32.0571
0.0303705	4	2	0	33.6571
0.0303839	1	2	0	36.4221
0.030433	4	2	0	32.8153
0.030433	7	1	0	6.78146
0.0304464	1	2	0	33.1112
0.0304509	4	2	0	18.5171
0.0304598	7	1	0	36.1729
0.0304821	1	1	1	65.8156
0.0305357	4	1	1	62.6319
0.0305714	1	2	0	60.7266
0.0306205	4	2	0	12.6732
0.0306205	7	1	0	33.864
0.0306339	4	2	0	21.5261
0.0306339	7	1	0	9.83385
0.0306964	1	2	0	33.1112
0.0306964	4	2	0	-19.4363
0.0306964	7	1	0	-5.10577
0.0307321	1	1	1	65.8156
0.0307589	1	2	0	34.9258
0.0307589	7	1	0	-5.12297
0.0307857	4	1	1	31.0066
0.030808	4	2	0	32.368
0.0308214	4	2	0	33.6621
0.0308839	1	2	0	33.1112
0.0308839	4	2	0	-19.4363
0.0308839	7	1	0	-5.10577
0.0309464	1	1	1	66.0634
0.0309464	1	2	0	36.4221
0.0309464	4	2	0	-19.4362
0.0309955	7	1	0	38.6564
0.0310357	1	1	1	5.96355
0.0310357	4	1	1	31.0066
0.031058	4	2	0	11.3051
0.031058	7	1	0	-1.89187
0.0310714	1	2	0	36.4221
0.0311205	4	2	0	32.8153
0.0311205	7	1	0	6.78146
0.0311339	4	2	0	21.5261
0.031183	7	1	0	38.8028
0.0311964	1	2	0	61.0085
0.0312455	4	2	0	10.9276
0.0312455	7	1	0	-2.14227
0.0312589	1	2	0	35.102
0.0312857	1	1	1	5.96355
0.0312857	4	1	1	31.0066
0.031308	4	2	0	19.7492
0.031308	7	1	0	38.2429
0.0313705	4	2	0	11.3051
0.0313705	7	1	0	-1.89187
0.0313839	1	2	0	33.1112
0.0313884	4	2	0	18.5171
0.0314062	7	1	0	37.4208
0.0314464	1	2	0	33.1112
0.0314464	4	2	0	-19.4363
0.0314464	7	1	0	-5.10577
0.0315357	1	1	1	5.96355
0.0315357	4	1	1	31.0066
0.031558	7	1	0	39.0347
0.0315714	1	2	0	33.1112
0.0315714	4	2	0	-19.4363
0.0315759	7	1	0	36.1709
0.031683	7	1	0	39.0347
0.0316964	1	2	0	34.9258
0.0317009	7	1	0	35.3038
0.0317455	4	2	0	31.9773
0.0317589	1	2	0	61.0085
0.0317857	1	1	1	5.96355
0.0317857	4	1	1	31.0066
0.031808	4	2	0	10.9276
