time(s)	cellId	rnti	lcid	packetSize
0.0271004	1	1	4	80
0.0271005	4	1	4	80
0.0272002	1	2	4	55
0.0272002	4	2	4	55
0.0272003	7	1	4	55
0.0272004	1	1	4	80
0.0272005	4	1	4	80
0.0273002	1	2	4	55
0.0273002	4	2	4	55
0.0273003	7	1	4	55
0.0273004	1	1	4	80
0.0273005	4	1	4	80
0.0274002	1	2	4	55
0.0274002	4	2	4	55
0.0274003	7	1	4	55
0.0274004	1	1	4	80
0.0274005	4	1	4	80
0.0275002	1	2	4	55
0.0275002	4	2	4	55
0.0275003	7	1	4	55
0.0275004	1	1	4	80
0.0275005	4	1	4	80
0.0276002	1	2	4	55
0.0276002	4	2	4	55
0.0276003	7	1	4	55
0.0276004	1	1	4	80
0.0276005	4	1	4	80
0.0277002	1	2	4	55
0.0277002	4	2	4	55
0.0277003	7	1	4	55
0.0277004	1	1	4	80
0.0277005	4	1	4	80
0.0278002	1	2	4	55
0.0278002	4	2	4	55
0.0278003	7	1	4	55
0.0278004	1	1	4	80
0.0278005	4	1	4	80
0.0279002	1	2	4	55
0.0279002	4	2	4	55
0.0279003	7	1	4	55
0.0279004	1	1	4	80
0.0279005	4	1	4	80
0.0280002	1	2	4	55
0.0280002	4	2	4	55
0.0280003	7	1	4	55
0.0280004	1	1	4	80
0.0280005	4	1	4	80
0.0281002	1	2	4	55
0.0281002	4	2	4	55
0.0281003	7	1	4	55
0.0281004	1	1	4	80
0.0281005	4	1	4	80
0.0282002	1	2	4	55
0.0282002	4	2	4	55
0.0282003	7	1	4	55
0.0282004	1	1	4	80
0.0282005	4	1	4	80
0.0283002	1	2	4	55
0.0283002	4	2	4	55
0.0283003	7	1	4	55
0.0283004	1	1	4	80
0.0283005	4	1	4	80
0.0284002	1	2	4	55
0.0284002	4	2	4	55
0.0284003	7	1	4	55
0.0284004	1	1	4	80
0.0284005	4	1	4	80
0.0285002	1	2	4	55
0.0285002	4	2	4	55
0.0285003	7	1	4	55
0.0285004	1	1	4	80
0.0285005	4	1	4	80
0.0286002	1	2	4	55
0.0286002	4	2	4	55
0.0286003	7	1	4	55
0.0286004	1	1	4	80
0.0286005	4	1	4	80
0.0287002	1	2	4	55
0.0287002	4	2	4	55
0.0287003	7	1	4	55
0.0287004	1	1	4	80
0.0287005	4	1	4	80
0.0288002	1	2	4	55
0.0288002	4	2	4	55
0.0288003	7	1	4	55
0.0288004	1	1	4	80
0.0288005	4	1	4	80
0.0289002	1	2	4	55
0.0289002	4	2	4	55
0.0289003	7	1	4	55
0.0289004	1	1	4	80
0.0289005	4	1	4	80
0.0290002	1	2	4	55
0.0290002	4	2	4	55
0.0290003	7	1	4	55
0.0290004	1	1	4	80
