Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.0199464	DL	1	9	15	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0199464	DL	1	9	15	1	1	4	0	2	118	28	1	0	-19.4363	0	1	1
0.0199955	DL	1	9	15	1	12	7	0	1	39	0	1	0	38.8024	15	0	0
0.0200357	DL	2	0	0	1	1	1	1	1	497	28	1	0	5.96355	7	1	1
0.0200357	DL	2	0	0	1	1	4	1	1	497	28	1	0	31.0066	15	0	0
0.020058	DL	2	0	0	1	12	7	0	1	96	24	1	1	48.0656	15	0	0
0.0200714	DL	2	0	1	1	1	1	0	2	118	28	1	0	61.0085	15	0	5.701e-14
0.0201205	DL	2	0	1	1	12	4	0	2	118	28	1	2	19.9585	15	0	0
0.0201205	DL	2	0	1	1	12	7	0	1	118	28	1	1	6.88863	7	1	1
0.0201339	DL	2	0	2	1	1	4	0	2	118	28	1	0	21.5261	15	0	1.30873e-05
0.020183	DL	2	0	2	1	12	7	0	1	39	0	1	0	38.796	15	0	0
0.0201964	DL	2	0	3	1	1	1	0	2	118	28	1	0	60.7266	15	0	5.701e-14
0.0202455	DL	2	0	3	1	12	4	0	2	239	28	1	1	34.7669	14	0	0
0.0202455	DL	2	0	3	1	12	7	0	1	118	28	1	2	8.61772	8	0	0
0.0202589	DL	2	0	4	1	1	1	0	2	118	28	1	0	35.102	15	0	5.701e-14
0.0202634	DL	2	0	4	1	2	7	0	1	239	28	1	0	35.6114	13	1	1
0.0202857	DL	2	0	1	1	1	1	1	1	497	28	1	0	5.96355	7	1	1
0.0202857	DL	2	0	1	1	1	4	1	1	497	28	1	0	31.0066	15	0	0
0.020308	DL	2	0	4	1	12	4	0	2	118	28	1	1	41.088	15	0	0.595259
0.0203705	DL	2	0	5	1	12	4	0	2	39	0	1	0	33.6571	15	0	0
0.0203839	DL	2	0	6	1	1	1	0	2	118	28	1	0	36.4221	15	0	5.701e-14
0.020433	DL	2	0	6	1	12	4	0	2	39	0	1	0	32.8153	14	0	0
0.020433	DL	2	0	6	1	12	7	0	1	118	28	1	2	15.8124	12	0	0
0.0204464	DL	2	0	7	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0204509	DL	2	0	7	1	2	4	0	2	239	28	1	0	18.5171	14	1	1
0.0204598	DL	2	0	7	1	4	7	0	1	127	12	1	0	36.1729	15	0	0
0.0205357	DL	2	0	2	1	1	1	1	1	497	28	1	0	5.96355	7	1	1
0.0205357	DL	2	0	2	1	1	4	1	1	497	28	1	0	31.0066	15	0	0
0.0205714	DL	2	0	9	1	1	1	0	2	118	28	1	0	36.1458	15	0	5.701e-14
0.0205714	DL	2	0	9	1	1	4	0	2	109	26	1	0	-19.4362	0	1	1
0.0206205	DL	2	0	9	1	12	7	0	1	239	28	1	1	45.9195	15	0	0
0.0206339	DL	2	0	10	1	1	7	0	1	96	24	1	0	39.1801	15	0	0
0.0206964	DL	2	0	11	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0206964	DL	2	0	11	1	1	4	0	2	118	28	1	0	-19.4363	0	1	1
0.0206964	DL	2	0	11	1	1	7	0	1	96	24	1	0	-5.10577	0	1	1
0.0207589	DL	2	0	12	1	1	1	0	2	118	28	1	0	34.9258	15	0	5.701e-14
0.0207589	DL	2	0	12	1	1	7	0	1	82	22	1	0	-5.12297	0	1	1
0.0207857	DL	2	0	3	1	1	1	1	1	497	28	1	0	5.96355	7	1	1
0.0207857	DL	2	0	3	1	1	4	1	1	497	28	1	0	31.0066	15	0	0
0.020808	DL	2	0	12	1	12	4	0	2	239	28	1	1	39.638	15	0	0
