time(s)	cellId	rnti	lcid	packetSize
0.1117	1	1	4	80
0.111701	4	1	4	80
0.1118	1	2	4	55
0.1118	4	2	4	55
0.1118	7	1	4	55
0.1118	1	1	4	80
0.111801	4	1	4	80
0.1119	1	2	4	55
0.1119	4	2	4	55
0.1119	7	1	4	55
0.1119	1	1	4	80
0.111901	4	1	4	80
0.112	1	2	4	55
0.112	4	2	4	55
0.112	7	1	4	55
0.112	1	1	4	80
0.112001	4	1	4	80
0.1121	1	2	4	55
0.1121	4	2	4	55
0.1121	7	1	4	55
0.1121	1	1	4	80
0.112101	4	1	4	80
0.1122	1	2	4	55
0.1122	4	2	4	55
0.1122	7	1	4	55
0.1122	1	1	4	80
0.112201	4	1	4	80
0.1123	1	2	4	55
0.1123	4	2	4	55
0.1123	7	1	4	55
0.1123	1	1	4	80
0.112301	4	1	4	80
0.1124	1	2	4	55
0.1124	4	2	4	55
0.1124	7	1	4	55
0.1124	1	1	4	80
0.112401	4	1	4	80
0.1125	1	2	4	55
0.1125	4	2	4	55
0.1125	7	1	4	55
0.1125	1	1	4	80
0.112501	4	1	4	80
0.1126	1	2	4	55
0.1126	4	2	4	55
0.1126	7	1	4	55
0.1126	1	1	4	80
0.112601	4	1	4	80
0.1127	1	2	4	55
0.1127	4	2	4	55
0.1127	7	1	4	55
0.1127	1	1	4	80
0.112701	4	1	4	80
0.1128	1	2	4	55
0.1128	4	2	4	55
0.1128	7	1	4	55
0.1128	1	1	4	80
0.112801	4	1	4	80
0.1129	1	2	4	55
0.1129	4	2	4	55
0.1129	7	1	4	55
0.1129	1	1	4	80
0.112901	4	1	4	80
0.113	1	2	4	55
0.113	4	2	4	55
0.113	7	1	4	55
0.113	1	1	4	80
0.113001	4	1	4	80
0.1131	1	2	4	55
0.1131	4	2	4	55
0.1131	7	1	4	55
0.1131	1	1	4	80
0.113101	4	1	4	80
0.1132	1	2	4	55
0.1132	4	2	4	55
0.1132	7	1	4	55
0.1132	1	1	4	80
0.113201	4	1	4	80
0.1133	1	2	4	55
0.1133	4	2	4	55
0.1133	7	1	4	55
0.1133	1	1	4	80
0.113301	4	1	4	80
0.1134	1	2	4	55
0.1134	4	2	4	55
0.1134	7	1	4	55
0.1134	1	1	4	80
0.113401	4	1	4	80
0.1135	1	2	4	55
0.1135	4	2	4	55
0.1135	7	1	4	55
0.1135	1	1	4	80
0.113501	4	1	4	80
0.1136	1	2	4	55
0.1136	4	2	4	55
0.1136	7	1	4	55
0.1136	1	1	4	80
0.113601	4	1	4	80
0.1137	1	2	4	55
0.1137	4	2	4	55
0.1137	7	1	4	55
0.1137	1	1	4	80
0.113701	4	1	4	80
0.1138	1	2	4	55
0.1138	4	2	4	55
0.1138	7	1	4	55
0.1138	1	1	4	80
0.113801	4	1	4	80
0.1139	1	2	4	55
0.1139	4	2	4	55
0.1139	7	1	4	55
0.1139	1	1	4	80
0.113901	4	1	4	80
0.114	1	2	4	55
0.114	4	2	4	55
0.114	7	1	4	55
0.114	1	1	4	80
0.114001	4	1	4	80
0.1141	1	2	4	55
0.1141	4	2	4	55
0.1141	7	1	4	55
0.1141	1	1	4	80
0.114101	4	1	4	80
0.1142	1	2	4	55
0.1142	4	2	4	55
0.1142	7	1	4	55
0.1142	1	1	4	80
0.114201	4	1	4	80
0.1143	1	2	4	55
0.1143	4	2	4	55
0.1143	7	1	4	55
0.1143	1	1	4	80
0.114301	4	1	4	80
0.1144	1	2	4	55
0.1144	4	2	4	55
0.1144	7	1	4	55
0.1144	1	1	4	80
0.114401	4	1	4	80
0.1145	1	2	4	55
0.1145	4	2	4	55
0.1145	7	1	4	55
0.1145	1	1	4	80
0.114501	4	1	4	80
0.1146	1	2	4	55
0.1146	4	2	4	55
0.1146	7	1	4	55
0.1146	1	1	4	80
0.114601	4	1	4	80
0.1147	1	2	4	55
0.1147	4	2	4	55
0.1147	7	1	4	55
0.1147	1	1	4	80
0.114701	4	1	4	80
0.1148	1	2	4	55
0.1148	4	2	4	55
0.1148	7	1	4	55
0.1148	1	1	4	80
0.114801	4	1	4	80
0.1149	1	2	4	55
0.1149	4	2	4	55
0.1149	7	1	4	55
0.1149	1	1	4	80
0.114901	4	1	4	80
0.115	1	2	4	55
0.115	4	2	4	55
0.115	7	1	4	55
0.115	1	1	4	80
0.115001	4	1	4	80
0.1151	1	2	4	55
0.1151	4	2	4	55
0.1151	7	1	4	55
0.1151	1	1	4	80
0.115101	4	1	4	80
0.1152	1	2	4	55
0.1152	4	2	4	55
0.1152	7	1	4	55
0.1152	1	1	4	80
0.115201	4	1	4	80
0.1153	1	2	4	55
0.1153	4	2	4	55
0.1153	7	1	4	55
0.1153	1	1	4	80
0.115301	4	1	4	80
0.1154	1	2	4	55
0.1154	4	2	4	55
0.1154	7	1	4	55
0.1154	1	1	4	80
0.115401	4	1	4	80
0.1155	1	2	4	55
0.1155	4	2	4	55
0.1155	7	1	4	55
0.1155	1	1	4	80
0.115501	4	1	4	80
0.1156	1	2	4	55
0.1156	4	2	4	55
0.1156	7	1	4	55
0.1156	1	1	4	80
0.115601	4	1	4	80
0.1157	1	2	4	55
0.1157	4	2	4	55
0.1157	7	1	4	55
0.1157	1	1	4	80
0.115701	4	1	4	80
0.1158	1	2	4	55
0.1158	4	2	4	55
0.1158	7	1	4	55
0.1158	1	1	4	80
0.115801	4	1	4	80
0.1159	1	2	4	55
0.1159	4	2	4	55
0.1159	7	1	4	55
0.1159	1	1	4	80
0.115901	4	1	4	80
0.116	1	2	4	55
0.116	4	2	4	55
0.116	7	1	4	55
0.116	1	1	4	80
0.116001	4	1	4	80
0.1161	1	2	4	55
0.1161	4	2	4	55
0.1161	7	1	4	55
0.1161	1	1	4	80
0.116101	4	1	4	80
0.1162	1	2	4	55
0.1162	4	2	4	55
0.1162	7	1	4	55
0.1162	1	1	4	80
0.116201	4	1	4	80
0.1163	1	2	4	55
0.1163	4	2	4	55
0.1163	7	1	4	55
0.1163	1	1	4	80
0.116301	4	1	4	80
0.1164	1	2	4	55
0.1164	4	2	4	55
0.1164	7	1	4	55
0.1164	1	1	4	80
0.116401	4	1	4	80
0.1165	1	2	4	55
0.1165	4	2	4	55
0.1165	7	1	4	55
0.1165	1	1	4	80
0.116501	4	1	4	80
0.1166	1	2	4	55
0.1166	4	2	4	55
0.1166	7	1	4	55
0.1166	1	1	4	80
0.116601	4	1	4	80
0.1167	1	2	4	55
0.1167	4	2	4	55
0.1167	7	1	4	55
0.1167	1	1	4	80
0.116701	4	1	4	80
0.1168	1	2	4	55
0.1168	4	2	4	55
0.1168	7	1	4	55
0.1168	1	1	4	80
0.116801	4	1	4	80
0.1169	1	2	4	55
0.1169	4	2	4	55
0.1169	7	1	4	55
0.1169	1	1	4	80
0.116901	4	1	4	80
0.117	1	2	4	55
0.117	4	2	4	55
0.117	7	1	4	55
0.117	1	1	4	80
0.117001	4	1	4	80
0.1171	1	2	4	55
0.1171	4	2	4	55
0.1171	7	1	4	55
0.1171	1	1	4	80
0.117101	4	1	4	80
0.1172	1	2	4	55
0.1172	4	2	4	55
0.1172	7	1	4	55
0.1172	1	1	4	80
0.117201	4	1	4	80
0.1173	1	2	4	55
0.1173	4	2	4	55
0.1173	7	1	4	55
0.1173	1	1	4	80
0.117301	4	1	4	80
0.1174	1	2	4	55
0.1174	4	2	4	55
0.1174	7	1	4	55
0.1174	1	1	4	80
0.117401	4	1	4	80
0.1175	1	2	4	55
0.1175	4	2	4	55
0.1175	7	1	4	55
0.1175	1	1	4	80
0.117501	4	1	4	80
0.1176	1	2	4	55
0.1176	4	2	4	55
0.1176	7	1	4	55
0.1176	1	1	4	80
0.117601	4	1	4	80
0.1177	1	2	4	55
0.1177	4	2	4	55
0.1177	7	1	4	55
0.1177	1	1	4	80
0.117701	4	1	4	80
0.1178	1	2	4	55
0.1178	4	2	4	55
0.1178	7	1	4	55
0.1178	1	1	4	80
0.117801	4	1	4	80
0.1179	1	2	4	55
0.1179	4	2	4	55
0.1179	7	1	4	55
0.1179	1	1	4	80
0.117901	4	1	4	80
0.118	1	2	4	55
0.118	4	2	4	55
0.118	7	1	4	55
0.118	1	1	4	80
0.118001	4	1	4	80
0.1181	1	2	4	55
0.1181	4	2	4	55
0.1181	7	1	4	55
0.1181	1	1	4	80
0.118101	4	1	4	80
0.1182	1	2	4	55
0.1182	4	2	4	55
0.1182	7	1	4	55
0.1182	1	1	4	80
0.118201	4	1	4	80
0.1183	1	2	4	55
0.1183	4	2	4	55
0.1183	7	1	4	55
0.1183	1	1	4	80
0.118301	4	1	4	80
0.1184	1	2	4	55
0.1184	4	2	4	55
0.1184	7	1	4	55
0.1184	1	1	4	80
0.118401	4	1	4	80
0.1185	1	2	4	55
0.1185	4	2	4	55
0.1185	7	1	4	55
0.1185	1	1	4	80
0.118501	4	1	4	80
0.1186	1	2	4	55
0.1186	4	2	4	55
0.1186	7	1	4	55
0.1186	1	1	4	80
0.118601	4	1	4	80
0.1187	1	2	4	55
0.1187	4	2	4	55
0.1187	7	1	4	55
0.1187	1	1	4	80
0.118701	4	1	4	80
0.1188	1	2	4	55
0.1188	4	2	4	55
0.1188	7	1	4	55
0.1188	1	1	4	80
0.118801	4	1	4	80
0.1189	1	2	4	55
0.1189	4	2	4	55
0.1189	7	1	4	55
0.1189	1	1	4	80
0.118901	4	1	4	80
0.119	1	2	4	55
0.119	4	2	4	55
0.119	7	1	4	55
0.119	1	1	4	80
0.119001	4	1	4	80
0.1191	1	2	4	55
0.1191	4	2	4	55
0.1191	7	1	4	55
0.1191	1	1	4	80
0.119101	4	1	4	80
0.1192	1	2	4	55
0.1192	4	2	4	55
0.1192	7	1	4	55
0.1192	1	1	4	80
0.119201	4	1	4	80
0.1193	1	2	4	55
0.1193	4	2	4	55
0.1193	7	1	4	55
0.1193	1	1	4	80
0.119301	4	1	4	80
0.1194	1	2	4	55
0.1194	4	2	4	55
0.1194	7	1	4	55
0.1194	1	1	4	80
0.119401	4	1	4	80
